,variables,p_cntrl2730,p_cncr5987,p_cntrl5081,p_cncr1718,p_cncr2573,p_cncr2035,p_cntrl2972,p_cncr6812,p_cntrl9873,p_cncr4188,p_cncr9002,p_cncr9466,p_cncr8865,p_cntrl5767,p_cncr2978,p_cntrl6376,p_cntrl8387,p_cncr3595,p_cncr4026,p_cncr9591,p_cntrl8413,p_cncr9070,p_cncr6166,p_cncr1817,p_cntrl6666,p_cncr2162,p_cncr1856,p_cncr2882,p_cncr1259,p_cntrl5277
22,c_3_2_10,0.22129836920113716,0.1865519870633838,0.1818667284619285,0.30770686735028785,0.23214699882994996,0.26108031944197624,0.19924204825485356,0.2059113924640738,0.1720797288076885,0.3127503335443546,0.2260283948698025,0.22319743695878938,0.24783441400613127,0.21211548730879812,0.3018282687984684,0.173838137102428,0.23513721914026608,0.26270907641700386,0.2369916574140726,0.27037026920899454,0.18051780628194086,0.1533844928507852,0.2832167278578652,0.3295893196297965,0.19564859900105422,0.16831165819243385,0.34542445624032414,0.2733357854489453,0.14741684549893644,0.18529513751994642
23,c_3_2_11,0.22716381866391866,0.2943986802867339,0.3715420428602161,0.23294424040434364,0.29689849069305335,0.24112524936187507,0.2687179353194175,0.2736502574203573,0.36007565378151174,0.22841443055276173,0.19284948258702905,0.3675828459254344,0.2854601374874544,0.303617153754052,0.17550701991345238,0.24187939434453026,0.2952929051552234,0.2046367226899164,0.2508923903675841,0.2057547862508869,0.28259206159235256,0.38085208153597067,0.22055039575194813,0.13402148443902448,0.2830854767385793,0.33361975070503697,0.17057505877605444,0.23734572195052694,0.32067157834715493,0.29778719795949765
24,c_4_0_00,0.25298979581527997,0.22910877352342746,0.2226052517378934,0.17988021920866962,0.28743990098750904,0.26134771751161606,0.2646635145681828,0.20218165803936228,0.2927962041419227,0.28637432177721694,0.22002671703261656,0.29874899827390355,0.2355520698300804,0.303090110028335,0.23042681261109016,0.3374930867555917,0.21526261365768443,0.2099342877566472,0.26006356999357333,0.2703551155594274,0.2382864880374068,0.2565554052915119,0.24072596755725612,0.2203364174795986,0.24907891188354017,0.23193713289770876,0.22490952092767302,0.24468805455832413,0.21808534088245343,0.26717675942348096
25,c_4_0_01,0.3056030842477203,0.19557654683242204,0.24186451224789227,0.2641152044551246,0.26232650597755824,0.23274861559911317,0.21197232047228254,0.27714902285364906,0.2614992545053266,0.19975539969215078,0.2596687682265106,0.2978474522725579,0.26629060377742947,0.26198688207104603,0.2586650430696986,0.22130594926103075,0.27854827276543437,0.24461272593320732,0.3265729636192417,0.26821124103878585,0.295813278938287,0.22185294352307156,0.2937641176331766,0.2617355141722539,0.2800721720948187,0.22667489458082998,0.26714029776944215,0.24110668433952845,0.2185599198787433,0.23711303146746737
26,c_4_0_10,0.21685627929795903,0.34396478089914306,0.24737062067856896,0.19373392878199558,0.22795705376478917,0.2777794432610226,0.3273625718567773,0.29811925206027035,0.2116640108624385,0.2781775049738548,0.2546909369096417,0.20986895435047587,0.2907625505339348,0.20876400906992773,0.244896660705282,0.24336054092722054,0.21858956589076797,0.2557255846757683,0.19947210127445922,0.23258052482118804,0.25128925934911006,0.2804847807029505,0.2659857793751822,0.2524201970454791,0.23828645476376542,0.1876647870226079,0.23648836168016188,0.2719525887842397,0.19265986059568382,0.23937213696622403
27,c_4_0_11,0.22455084063904066,0.23134989874500742,0.2881596153356454,0.36227064755421023,0.2222765392701435,0.2281242236282482,0.19600159310275733,0.22255006704671831,0.23404053049031223,0.23569277355677748,0.2656135778312312,0.19353459510306273,0.2073947758585554,0.2261589988306912,0.26601148361392923,0.19784042305615704,0.28759954768611323,0.2897274016343772,0.21389136511272572,0.22885311858059876,0.21461097367519613,0.24110687048246604,0.19952413543438505,0.26550787130266845,0.2325624612578757,0.3537231854988534,0.271461819622723,0.24225267231790767,0.37069487864311945,0.2563380721428276
28,c_4_1_00,0.24327044021771413,0.20571215102383714,0.23614468403316718,0.27196626610345565,0.1744722616733383,0.23929170685400952,0.19495192965742364,0.20794060771057304,0.21950759517233645,0.3178266098853456,0.2309881132374614,0.2587825127205498,0.33986784490854816,0.23996373869535562,0.33758905402020806,0.14786730526571815,0.14840143901611708,0.24803653262829797,0.25848306441466085,0.3389873385974155,0.28803480581152496,0.15478092398052418,0.2212415537613341,0.3060946240718544,0.2338096323581852,0.1642557767354154,0.28815991657795925,0.24262255829801965,0.1278394106154301,0.1968910966179033
29,c_4_1_01,0.31532243984528613,0.21897316933201233,0.22832507995261844,0.1720291575603385,0.375294145291729,0.2548046262567197,0.2816839053830417,0.2713900731824383,0.3347878634749128,0.1683031115840221,0.24870737202166576,0.33781393782591157,0.16197482869896168,0.32511325340402547,0.15150280166058067,0.4109317307509043,0.34540944740700175,0.20651048106155653,0.3281534691981542,0.19957901800079772,0.24606496116416884,0.32362742483405926,0.3132485314290987,0.17597730757999805,0.29534145162017367,0.2943562507431233,0.20388990211915592,0.24317218059983292,0.3088058501457666,0.30739869427304506
30,c_4_1_10,0.22557765301048258,0.234169132895669,0.224922680496688,0.40960981778109307,0.2094953854775641,0.2511112781613457,0.15932294690071402,0.19768388510552373,0.1950833403806966,0.26831097201110776,0.2798646861130755,0.2444033083701224,0.22000077826085124,0.1845745136534487,0.3511158080270228,0.2214117623811883,0.14289337418192963,0.2141649600052341,0.19818097327675094,0.3316147762676388,0.18421461032975475,0.19866781733731642,0.2139363990588879,0.3882763874286931,0.25228195614833343,0.1744313015561552,0.28362450619021135,0.33043133162972993,0.19335276026415124,0.18986638682897095
31,c_4_1_11,0.2158294669265171,0.3411455467484815,0.31060755551752633,0.14639475855511275,0.24073820755736858,0.2547923887279251,0.3640412180588206,0.32298543400146495,0.2506212009720541,0.2455593065195245,0.2404398286277973,0.15900024108341618,0.2781565481316389,0.25034849424717026,0.15979233629218847,0.2197892016021893,0.3632957393949516,0.3312880263049114,0.215182493110434,0.129818867134148,0.28168562269455144,0.32292383384810014,0.2515735157506793,0.12965168091945448,0.21856695987330765,0.3669566709653061,0.22432567511267348,0.18377392947241747,0.37000197897465203,0.3058438222800807
32,c_4_2_00,0.32726535038129845,0.20416128047034304,0.19219234749710923,0.22362942831136878,0.23497634700149375,0.2657793471928078,0.1555779396543975,0.21745384190128794,0.2179485306796027,0.30185756459575425,0.23188762048989303,0.22638301837913838,0.2966540122421555,0.21530927150637402,0.2991886441645663,0.21246496159028821,0.18033593523070737,0.23202554558810673,0.30995859705156226,0.30422551215205956,0.19466014241858445,0.15324748786786974,0.22198252412976519,0.3534854577436563,0.29092774292927925,0.177631581660658,0.3066050115121686,0.21063724986577517,0.17650824797920223,0.17318261756787975
33,c_4_2_01,0.2313275296817018,0.22052403988550645,0.2722774164886764,0.22036599535242543,0.31479005996357357,0.2283169859179214,0.3210578953860679,0.26187683899172337,0.3363469279676466,0.18427215687361348,0.24780786476923414,0.37021343216732305,0.20518866136535438,0.34976772059300704,0.18990321151622247,0.34633407442633424,0.3134749511924115,0.22252146810174775,0.2766779365612528,0.23434084444615363,0.33943962455710935,0.32516086094671365,0.31250756106066757,0.12858647390819616,0.23822334104907966,0.28098044581788073,0.1854448071849465,0.27515748903207743,0.26013701278199447,0.3311071733230686
34,c_4_2_10,0.2225858164468374,0.2000072161783084,0.21902051671899309,0.40258382609220716,0.14972791127977184,0.26927139301971353,0.3257178889635036,0.2567173373804106,0.19138471686233577,0.30214138475015456,0.24783377026328204,0.17484278056957275,0.22987002576995919,0.18488813017121286,0.35767786708594773,0.19983037389036737,0.184638333998266,0.3163495616012344,0.20144763831153709,0.266173098329701,0.21152057146267397,0.17275439557062164,0.25154975721118467,0.3751131638995381,0.19990814840066143,0.13695900900453684,0.31616911859562324,0.2865569477809232,0.11414735589481799,0.21155701421573472
35,c_4_2_11,0.2188213034901623,0.3753074634658421,0.31650971929522126,0.15342075024399865,0.30050568175516085,0.23663227386955726,0.19764627599603102,0.2639519817265781,0.25431982449041496,0.21172889378047768,0.2724707444775908,0.22856076888396584,0.268287300622531,0.2500348777294061,0.15323027723326355,0.2413705900930102,0.32155077957861516,0.22910342470891107,0.21191582807564785,0.19526054507208582,0.2543796615616322,0.34883725561479495,0.21396015759838258,0.14281490444860945,0.2709407676209797,0.4044289635169244,0.1917810627072616,0.2276483133212242,0.4492073833439853,0.2841531948933169
